Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_SOD-123,216,-52.35,-90,top
D2,LED,LED_D5.0mm,109,-142,0,top
D3,LED,LED_D5.0mm,116.62,-142,0,top
D4,LED,LED_D5.0mm,124.24,-142,0,top
D5,LED,LED_D5.0mm,131.86,-142,0,top
D6,LED,LED_D5.0mm,139.48,-142,0,top
D7,1N4148,Nexperia_CFP3_SOD-123W,96.7,-66.1,180,top
D8,1N4148,Nexperia_CFP3_SOD-123W,96.7,-63.56,180,top
D9,1N4148,Nexperia_CFP3_SOD-123W,96.7,-61.02,180,top
D10,1N4148,Nexperia_CFP3_SOD-123W,96.7,-58.48,180,top
D11,1N4148,Nexperia_CFP3_SOD-123W,96.7,-55.94,180,top
D12,1N4148,Nexperia_CFP3_SOD-123W,96.7,-53.4,180,top
D13,1N4148,Nexperia_CFP3_SOD-123W,96.7,-50.86,180,top
D14,1N4148,Nexperia_CFP3_SOD-123W,96.7,-48.32,180,top
D15,1N4148,Nexperia_CFP3_SOD-123W,96.7,-88.88,180,top
D16,1N4148,Nexperia_CFP3_SOD-123W,96.7,-86.34,180,top
D17,1N4148,Nexperia_CFP3_SOD-123W,96.7,-83.8,180,top
D18,1N4148,Nexperia_CFP3_SOD-123W,96.7,-81.26,180,top
D19,1N4148,Nexperia_CFP3_SOD-123W,96.7,-78.72,180,top
D20,1N4148,Nexperia_CFP3_SOD-123W,96.7,-76.18,180,top
D21,1N4148,Nexperia_CFP3_SOD-123W,96.7,-73.64,180,top
D22,1N4148,Nexperia_CFP3_SOD-123W,96.7,-71.1,180,top
D23,1N4148,Nexperia_CFP3_SOD-123W,96.74,-111.84,180,top
D24,1N4148,Nexperia_CFP3_SOD-123W,96.74,-109.3,180,top
D25,1N4148,Nexperia_CFP3_SOD-123W,96.74,-106.76,180,top
D26,1N4148,Nexperia_CFP3_SOD-123W,96.74,-104.22,180,top
D27,1N4148,Nexperia_CFP3_SOD-123W,96.74,-101.68,180,top
D28,1N4148,Nexperia_CFP3_SOD-123W,96.74,-99.14,180,top
D29,1N4148,Nexperia_CFP3_SOD-123W,96.74,-96.6,180,top
D30,1N4148,Nexperia_CFP3_SOD-123W,96.74,-94.06,180,top
D31,1N4148,Nexperia_CFP3_SOD-123W,96.74,-134.7,180,top
D32,1N4148,Nexperia_CFP3_SOD-123W,96.74,-132.16,180,top
D33,1N4148,Nexperia_CFP3_SOD-123W,96.74,-129.62,180,top
D34,1N4148,Nexperia_CFP3_SOD-123W,96.74,-127.08,180,top
D35,1N4148,Nexperia_CFP3_SOD-123W,96.74,-124.54,180,top
D36,1N4148,Nexperia_CFP3_SOD-123W,96.74,-122,180,top
D37,1N4148,Nexperia_CFP3_SOD-123W,96.74,-119.46,180,top
D38,1N4148,Nexperia_CFP3_SOD-123W,96.74,-116.92,180,top
J1,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,142.66,-102.7,90,top
J2,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,134.62,-38.1,90,top
J3,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,142.6,-97.6,90,top
J4,Barrel_Jack,PinHeader_1x02_P2.54mm_Vertical,162.56,-53.34,90,top
J6,Conn_01x08_Male,PinSocket_1x08_P2.54mm_Vertical,101.6,-66.12,180,top
J7,Conn_01x08_Male,PinSocket_1x08_P2.54mm_Vertical,109.22,-66.04,180,top
J8,Conn_01x08_Male,PinSocket_1x08_P2.54mm_Vertical,101.6,-88.9,180,top
J9,Conn_01x08_Male,PinSocket_1x08_P2.54mm_Vertical,101.6,-111.76,180,top
J10,Conn_01x08_Male,PinSocket_1x08_P2.54mm_Vertical,101.6,-134.62,180,top
J11,Conn_01x08_Male,PinSocket_1x08_P2.54mm_Vertical,109.22,-88.9,180,top
J12,Conn_01x08_Male,PinSocket_1x08_P2.54mm_Vertical,109.22,-111.76,180,top
J13,Conn_01x08_Male,PinSocket_1x08_P2.54mm_Vertical,109.2,-134.62,180,top
J14,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,172.72,-53.34,90,top
JP1,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,185.42,-53.34,90,top
R1,220,R_0805_2012Metric,207.5,-56.4,0,top
R2,10k,R_0805_2012Metric,207.4,-52.2125,90,top
R3,470,R_0805_2012Metric,207.4,-48.0125,-90,top
R4,220,R_0805_2012Metric,129.2875,-38,0,top
R5,220,R_0805_2012Metric,139.3125,-41.8,0,top
R6,680R,R_0805_2012Metric,109,-146.22,0,top
R7,680R,R_0805_2012Metric,116.62,-146.22,0,top
R8,680R,R_0805_2012Metric,124.24,-146.22,0,top
R9,680R,R_0805_2012Metric,131.86,-146.22,0,top
R10,680R,R_0805_2012Metric,139.48,-146.22,0,top
R11,10K,R_0805_2012Metric,105.4125,-58.42,180,top
R12,10K,R_0805_2012Metric,105.4125,-48.26,180,top
R13,10K,R_0805_2012Metric,105.4125,-60.96,180,top
R14,10K,R_0805_2012Metric,105.4125,-50.8,180,top
R15,10K,R_0805_2012Metric,105.4125,-63.5,180,top
R16,10K,R_0805_2012Metric,105.4125,-53.34,180,top
R17,10K,R_0805_2012Metric,105.4125,-66.04,180,top
R18,10K,R_0805_2012Metric,105.4125,-55.88,180,top
R19,10K,R_0805_2012Metric,105.4125,-81.28,180,top
R20,10K,R_0805_2012Metric,105.4125,-71.12,180,top
R21,10K,R_0805_2012Metric,105.4125,-83.82,180,top
R22,10K,R_0805_2012Metric,105.4125,-73.66,180,top
R23,10K,R_0805_2012Metric,105.4125,-86.36,180,top
R24,10K,R_0805_2012Metric,105.4125,-76.2,180,top
R25,10K,R_0805_2012Metric,105.4125,-88.9,180,top
R26,10K,R_0805_2012Metric,105.4125,-78.74,180,top
R27,10K,R_0805_2012Metric,105.4125,-104.14,180,top
R28,10K,R_0805_2012Metric,105.4125,-93.98,180,top
R29,10K,R_0805_2012Metric,105.4125,-106.68,180,top
R30,10K,R_0805_2012Metric,105.4125,-96.52,180,top
R31,10K,R_0805_2012Metric,105.4125,-109.22,180,top
R32,10K,R_0805_2012Metric,105.4125,-99.06,180,top
R33,10K,R_0805_2012Metric,105.4125,-111.76,180,top
R34,10K,R_0805_2012Metric,105.4125,-101.6,180,top
R35,10K,R_0805_2012Metric,105.4125,-127,180,top
R36,10K,R_0805_2012Metric,105.4125,-116.84,180,top
R37,10K,R_0805_2012Metric,105.4125,-129.54,180,top
R38,10K,R_0805_2012Metric,105.4125,-119.38,180,top
R39,10K,R_0805_2012Metric,105.4125,-132.08,180,top
R40,10K,R_0805_2012Metric,105.4125,-121.92,180,top
R41,10K,R_0805_2012Metric,105.4125,-134.62,180,top
R42,10K,R_0805_2012Metric,105.4125,-124.46,180,top
RV1,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,166.5,-73.05,90,top
RV2,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,181.74,-73.05,90,top
RV3,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,196.98,-73.05,90,top
RV4,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,212.22,-73.05,90,top
RV5,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,166.5,-90.83,90,top
RV6,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,181.74,-90.83,90,top
RV7,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,196.98,-90.83,90,top
RV8,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,212.22,-90.83,90,top
RV9,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,166.5,-108.61,90,top
RV10,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,181.74,-108.61,90,top
RV11,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,196.98,-108.61,90,top
RV12,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,212.22,-108.61,90,top
RV13,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,166.5,-126.39,90,top
RV14,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,181.74,-126.39,90,top
RV15,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,196.98,-126.39,90,top
RV16,R_Potentiometer,Potentiometer_Alps_RK09K_Single_Vertical,212.22,-126.39,90,top
SW1,SW_Push,SW_PUSH-12mm,151.6,-146.04,90,top
SW2,SW_Push,SW_PUSH-12mm,166.88,-146.04,90,top
SW3,SW_Push,SW_PUSH-12mm,182.12,-145.84,90,top
SW4,SW_Push,SW_PUSH-12mm,197.32,-145.84,90,top
U2,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,99,-143,180,top
U3,74LS165,SOIC-16_3.9x9.9mm_P1.27mm,125,-130,0,top
U4,4051,SOIC-16_3.9x9.9mm_P1.27mm,151,-121,0,top
U5,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,89.7,-58.8,180,top
U6,74LS165,SOIC-16_3.9x9.9mm_P1.27mm,118,-50,0,top
U7,4051,SOIC-16_3.9x9.9mm_P1.27mm,138.1,-121,0,top
U8,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,89.5,-81,180,top
U9,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,89.5,-104.15,180,top
U10,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,89.5,-124.7,180,top
U11,74LS165,SOIC-16_3.9x9.9mm_P1.27mm,118,-73.4,0,top
U12,74LS165,SOIC-16_3.9x9.9mm_P1.27mm,118,-96,0,top
U13,74LS165,SOIC-16_3.9x9.9mm_P1.27mm,118,-116,0,top
